Country,State,Date,ConfirmedCases,ConfirmedDeaths,
Bahrain,All,2/3/20,0,0,
Bahrain,All,2/4/20,0,0,
Bahrain,All,2/5/20,0,0,
Bahrain,All,2/6/20,0,0,
Bahrain,All,2/7/20,0,0,
Bahrain,All,2/8/20,0,0,
Bahrain,All,2/9/20,0,0,
Bahrain,All,2/10/20,0,0,
Bahrain,All,2/11/20,0,0,
Bahrain,All,2/12/20,0,0,
Bahrain,All,2/13/20,0,0,
Bahrain,All,2/14/20,0,0,
Bahrain,All,2/15/20,0,0,
Bahrain,All,2/16/20,0,0,
Bahrain,All,2/17/20,0,0,
Bahrain,All,2/18/20,0,0,
Bahrain,All,2/19/20,0,0,
Bahrain,All,2/20/20,0,0,
Bahrain,All,2/21/20,0,0,
Bahrain,All,2/22/20,0,0,
Bahrain,All,2/23/20,0,0,
Bahrain,All,2/24/20,1,0,
Bahrain,All,2/25/20,2,0,
Bahrain,All,2/26/20,23,0,
Bahrain,All,2/27/20,33,0,
Bahrain,All,2/28/20,33,0,
Bahrain,All,2/29/20,38,0,
Bahrain,All,3/1/20,41,0,
Bahrain,All,3/2/20,47,0,
Bahrain,All,3/4/20,49,0,
Bahrain,All,3/5/20,52,0,
Bahrain,All,3/6/20,52,0,
Bahrain,All,3/7/20,56,0,
Bahrain,All,3/8/20,63,0,
Bahrain,All,3/9/20,79,0,
Bahrain,All,3/10/20,109,0,
Bahrain,All,3/11/20,110,0,
Bahrain,All,3/12/20,162,0,
Bahrain,All,3/13/20,162,0,
Bahrain,All,3/14/20,210,0,
Bahrain,All,3/15/20,211,0,
Bahrain,All,3/16/20,214,0,
Bahrain,All,3/17/20,221,1,
Bahrain,All,3/18/20,237,1,
Bangladesh,All,3/9/20,3,0,
Bangladesh,All,3/15/20,3,0,
Bangladesh,All,3/17/20,5,0,
Bangladesh,All,3/18/20,8,0,
Barbados,All,3/18/20,1,0,
Belarus,All,12/31/19,0,0,
Belarus,All,1/1/20,0,0,
Belarus,All,1/2/20,0,0,
