country,state,population,rInitial,cfrInitial,flatteningDate,source,notes,continent
United States,South Carolina,5148714,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,South Dakota,884659,,,2020-03-27,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Tennessee,6833174,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Texas,28995881,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,U.S. Virgin Islands,104914,,,,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Utah,3205958,,,2020-03-21,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Vermont,623989,,,2020-03-21,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Virginia,8535519,,,2020-03-21,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Washington,7614893,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,West Virginia,1787147,,,2020-03-23,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Wisconsin,5822434,,,2020-03-21,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Wyoming,578759,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
